45EU,237089367,54956
46ROW,238604568,394075
47United Kingdom,56737172,49254
48South Africa,60688633,82403
49Australia ,58351190,501845
45EU,237089367,41051303097651338523
46ROW,238604568,85499649752390258449
47United Kingdom,56737172,821077948754322820150
48South Africa,60688633,560810877712322884288
49Australia ,58351190,748010731715014438007
45EU,237089367,41051303097651338523
46ROW,238604568,85499649752390258449
47United Kingdom,56737172,821077948754322820150
48South Africa,60688633,560810877712322884288
49Australia ,58351190,748010731715014438007
45EU,237089367,41051303097651338523
46ROW,238604568,85499649752390258449
47United Kingdom,56737172,821077948754322820150
48South Africa,60688633,560810877712322884288
49Australia ,58351190,748010731715014438007
45EU,237089367,41051303097651338523
46ROW,238604568,85499649752390258449
47United Kingdom,56737172,821077948754322820150
48South Africa,60688633,560810877712322884288
49Australia ,58351190,748010731715014438007
45EU,237089367,41051303097651338523
46ROW,238604568,85499649752390258449
47United Kingdom,56737172,821077948754322820150
48South Africa,60688633,560810877712322884288
49Australia ,58351190,748010731715014438007
45EU,237089367,41051303097651338523
46ROW,238604568,85499649752390258449
47United Kingdom,56737172,821077948754322820150
48South Africa,60688633,560810877712322884288
49Australia ,58351190,748010731715014438007
